time_ms,exit_code,path_size,path,buffer_size,buffer,num_states,num_controls
,,,,,0.13333,,
,,,,,0.662786,,
,,,,,0.0162581,,
,,,,,-0.1473,,
,,,,,0.0667,,
,,,,,-0.1963,,
,,,,,51,,
,,,,,38,,
,,,,,-1,,
,,,,,5,,
,,,,,6.63679,,
,,,,,0.17333,,
,,,,,0.861572,,
,,,,,0.035153,,
,,,,,0.24535,,
,,,,,0.4667,,
,,,,,0.589,,
,,,,,52,,
,,,,,38,,
,,,,,-1,,
,,,,,5,,
,,,,,6.7132,,
,,,,,0.15333,,
,,,,,0.759996,,
,,,,,-0.00541941,,
,,,,,-0.39275,,
,,,,,0.2667,,
,,,,,-0.6872,,
,,,,,53,,
,,,,,38,,
,,,,,-1,,
,,,,,5,,
,,,,,6.74336,,
,,,,,0.1311,,
,,,,,0.651767,,
,,,,,0.0185466,,
,,,,,-5.00362e-05,,
,,,,,0.0444,,
,,,,,0.0982,,
,,,,,54,,
,,,,,38,,
,,,,,-1,,
,,,,,5,,
,,,,,6.67245,,
,,,,,0.1711,,
,,,,,0.850291,,
,,,,,-0.00473967,,
,,,,,-0.1964,,
,,,,,0.4444,,
,,,,,-0.2945,,
,,,,,55,,
,,,,,38,,
,,,,,-1,,
,,,,,5,,
,,,,,6.69327,,
,,,,,0.1511,,
,,,,,0.751338,,
,,,,,0.0251762,,
,,,,,0.1963,,
,,,,,0.2444,,
,,,,,0.4909,,
,,,,,60,,
,,,,,55,,
,,,,,67,,
,,,,,6,,
,,,,,6.59259,,
,,,,,0.18443,,
,,,,,0.913323,,
,,,,,0.0640553,,
,,,,,0.29445,,
,,,,,0.3333,,
,,,,,0.1963,,
,,,,,57,,
,,,,,55,,
,,,,,-1,,
,,,,,6,,
,,,,,6.64031,,
,,,,,0.1711,,
,,,,,0.850492,,
,,,,,0.0369069,,
,,,,,-5.00232e-05,,
,,,,,0.2,,
,,,,,-0.3927,,
,,,,,58,,
,,,,,55,,
,,,,,-1,,
,,,,,6,,
,,,,,6.65138,,
,,,,,0.16443,,
,,,,,0.815388,,
,,,,,0.0432367,,
,,,,,0.39265,,
,,,,,0.1333,,
,,,,,0.3927,,
,,,,,59,,
,,,,,55,,
,,,,,-1,,
,,,,,6,,
,,,,,6.56229,,
,,,,,0.2041,,
,,,,,1.01461,,
,,,,,0.0458853,,
,,,,,-0.0982,,
,,,,,0.53,,
,,,,,-0.589,,
,,,,,60,,
,,,,,55,,
,,,,,-1,,
,,,,,6,,
,,,,,6.59259,,
,,,,,0.18443,,
,,,,,0.913323,,
,,,,,0.0640553,,
,,,,,0.29445,,
,,,,,0.3333,,
,,,,,0.1963,,
,,,,,61,,
,,,,,55,,
,,,,,-1,,
,,,,,6,,
,,,,,6.67463,,
,,,,,0.15777,,
,,,,,0.784265,,
,,,,,0.03039,,
,,,,,0.09815,,
,,,,,0.0667,,
,,,,,-0.1963,,
,,,,,62,,
,,,,,55,,
,,,,,-1,,
,,,,,6,,
,,,,,6.54284,,
,,,,,0.19777,,
,,,,,0.972502,,
,,,,,0.0970223,,
,,,,,0.4908,,
,,,,,0.4667,,
,,,,,0.589,,
,,,,,63,,
,,,,,55,,
,,,,,-1,,
,,,,,6,,
,,,,,6.62867,,
,,,,,0.17777,,
,,,,,0.883829,,
,,,,,0.0329837,,
,,,,,-0.1473,,
,,,,,0.2667,,
,,,,,-0.6872,,
,,,,,64,,
,,,,,55,,
,,,,,-1,,
,,,,,6,,
,,,,,6.68003,,
,,,,,0.15554,,
,,,,,0.77302,,
,,,,,0.0299325,,
,,,,,0.2454,,
,,,,,0.0444,,
,,,,,0.0982,,
,,,,,65,,
,,,,,55,,
,,,,,-1,,
,,,,,6,,
,,,,,6.57347,,
,,,,,0.19554,,
,,,,,0.971253,,
,,,,,0.0555841,,
,,,,,0.04905,,
,,,,,0.4444,,
,,,,,-0.2945,,
,,,,,66,,
,,,,,55,,
,,,,,-1,,
,,,,,6,,
,,,,,6.61538,,
,,,,,0.17554,,
,,,,,0.867996,,
,,,,,0.0605584,,
,,,,,0.44175,,
,,,,,0.2444,,
,,,,,0.4909,,
,,,,,71,,
,,,,,60,,
,,,,,-1,,
,,,,,7,,
,,,,,6.48411,,
,,,,,0.21776,,
,,,,,1.07072,,
,,,,,0.118621,,
,,,,,0.3926,,
,,,,,0.3333,,
,,,,,0.1963,,
,,,,,68,,
,,,,,60,,
,,,,,-1,,
,,,,,7,,
,,,,,6.53421,,
,,,,,0.20443,,
,,,,,1.01085,,
,,,,,0.0854459,,
,,,,,0.0981,,
,,,,,0.2,,
,,,,,-0.3927,,
,,,,,69,,
,,,,,60,,
,,,,,-1,,
,,,,,7,,
,,,,,6.5478,,
